ICD-10 DiagnosisCode,ICD-10 Diagnosis Description
F31.30,"Bipolar disorder, current episode depressed, mild or moderate severity,
unspecified"
F31.32,"Bipolar disorder, current episode depressed, moderate"
F31.5,"Bipolar disorder, current episode depressed, severe, with psychotic features"
F31.4,"Bipolar disorder, current episode depressed, severe, without psychotic features"
F31.0,"Bipolar disorder, current episode hypomanic"
F31.2,"Bipolar disorder, current episode manic severe with psychotic features"
F31.11,"Bipolar disorder, current episode manic without psychotic features, mild"
F31.12,"Bipolar disorder, current episode manic without psychotic features, moderate"
F31.13,"Bipolar disorder, current episode manic without psychotic features, severe"
F31.10,"Bipolar disorder, current episode manic without psychotic features, unspecified"
F31.61,"Bipolar disorder, current episode mixed, mild"
F31.62,"Bipolar disorder, current episode mixed, moderate"
F31.64,"Bipolar disorder, current episode mixed, severe, with psychotic features"
F31.63,"Bipolar disorder, current episode mixed, severe, without psychotic features"
F31.60,"Bipolar disorder, current episode mixed, unspecified"
F31.70,"Bipolar disorder, currently in remission, most recent episode unspecified"
F31.76,"Bipolar disorder, in full remission, most recent episode depressed"
F31.72,"Bipolar disorder, in full remission, most recent episode hypomanic"
F31.74,"Bipolar disorder, in full remission, most recent episode manic"
F31.78,"Bipolar disorder, in full remission, most recent episode mixed"
F31.75,"Bipolar disorder, in partial remission, most recent episode depressed"
F31.71,"Bipolar disorder, in partial remission, most recent episode hypomanic"
F31.73,"Bipolar disorder, in partial remission, most recent episode manic"
F31.77,"Bipolar disorder, in partial remission, most recent episode mixed"
F31.9,"Bipolar disorder, unspecified"
F45.22,Body dysmorphic disorder
F60.3,Borderline personality disorder
F23,Brief psychotic disorder
F50.2,Bulimia nervosa
F12.180,Cannabis abuse with cannabis-induced anxiety disorder
F12.121,Cannabis abuse with intoxication delirium
F12.122,Cannabis abuse with intoxication with perceptual disturbance
F12.188,Cannabis abuse with other cannabis-induced disorder
F12.150,Cannabis abuse with psychotic disorder with delusions
F12.151,Cannabis abuse with psychotic disorder with hallucinations
F12.159,"Cannabis abuse with psychotic disorder, unspecified"
F12.19,Cannabis abuse with unspecified cannabis-induced disorder
F12.280,Cannabis dependence with cannabis-induced anxiety disorder
F12.221,Cannabis dependence with intoxication delirium
F12.222,Cannabis dependence with intoxication with perceptual disturbance
F12.288,Cannabis dependence with other cannabis-induced disorder
F12.250,Cannabis dependence with psychotic disorder with delusions
F12.251,Cannabis dependence with psychotic disorder with hallucinations
F12.259,"Cannabis dependence with psychotic disorder, unspecified"
F12.29,Cannabis dependence with unspecified cannabis-induced disorder
F12.980,"Cannabis use, unspecified with anxiety disorder"
F12.921,"Cannabis use, unspecified with intoxication delirium"
F12.922,"Cannabis use, unspecified with intoxication with perceptual disturbance"
F12.988,"Cannabis use, unspecified with other cannabis-induced disorder"
F12.950,"Cannabis use, unspecified with psychotic disorder with delusions"
F12.951,"Cannabis use, unspecified with psychotic disorder with hallucinations"
F12.959,"Cannabis use, unspecified with psychotic disorder, unspecified"
F06.1,Catatonic disorder due to known physiological condition
F20.2,Catatonic schizophrenia
F93.9,"Childhood emotional disorder, unspecified"
F80.81,Childhood onset fluency disorder
F95.1,Chronic motor or vocal tic disorder
F40.240,Claustrophobia
F14.180,Cocaine abuse with cocaine-induced anxiety disorder
F14.14,Cocaine abuse with cocaine-induced mood disorder
F14.150,Cocaine abuse with cocaine-induced psychotic disorder with delusions
F14.151,Cocaine abuse with cocaine-induced psychotic disorder with hallucinations
F14.159,"Cocaine abuse with cocaine-induced psychotic disorder, unspecified"
F14.181,Cocaine abuse with cocaine-induced sexual dysfunction
F14.182,Cocaine abuse with cocaine-induced sleep disorder
F14.121,Cocaine abuse with intoxication with delirium
F14.122,Cocaine abuse with intoxication with perceptual disturbance
F14.188,Cocaine abuse with other cocaine-induced disorder
F14.19,Cocaine abuse with unspecified cocaine-induced disorder
F14.280,Cocaine dependence with cocaine-induced anxiety disorder
F14.24,Cocaine dependence with cocaine-induced mood disorder
F14.250,Cocaine dependence with cocaine-induced psychotic disorder with delusions
F14.251,Cocaine dependence with cocaine-induced psychotic disorder with hallucinations
F14.259,"Cocaine dependence with cocaine-induced psychotic disorder, unspecified"
F14.281,Cocaine dependence with cocaine-induced sexual dysfunction
F14.282,Cocaine dependence with cocaine-induced sleep disorder
F14.221,Cocaine dependence with intoxication delirium
F14.222,Cocaine dependence with intoxication with perceptual disturbance
F14.288,Cocaine dependence with other cocaine-induced disorder
F14.29,Cocaine dependence with unspecified cocaine-induced disorder
F14.980,"Cocaine use, unspecified with cocaine-induced anxiety disorder"
F14.94,"Cocaine use, unspecified with cocaine-induced mood disorder"
F14.950,"Cocaine use, unspecified with cocaine-induced psychotic disorder with delusions"
F14.951,"Cocaine use, unspecified with cocaine-induced psychotic disorder with
hallucinations"
F14.959,"Cocaine use, unspecified with cocaine-induced psychotic disorder, unspecified"
F14.981,"Cocaine use, unspecified with cocaine-induced sexual dysfunction"
F14.982,"Cocaine use, unspecified with cocaine-induced sleep disorder"
F14.921,"Cocaine use, unspecified with intoxication delirium"
F14.922,"Cocaine use, unspecified with intoxication with perceptual disturbance"
F14.988,"Cocaine use, unspecified with other cocaine-induced disorder"
F91.0,Conduct disorder confined to family context
F91.2,"Conduct disorder, adolescent-onset type"
F91.1,"Conduct disorder, childhood-onset type"
F91.9,"Conduct disorder, unspecified"
F44.7,Conversion disorder with mixed symptom presentation
F44.4,Conversion disorder with motor symptom or deficit
F44.5,Conversion disorder with seizures or convulsions
F44.6,Conversion disorder with sensory symptom or deficit
F34.0,Cyclothymic disorder
F05,Delirium due to known physiological condition
F22,Delusional disorders
F02.81,Dementia in other diseases classified elsewhere with behavioral disturbance
F02.80,Dementia in other diseases classified elsewhere without behavioral disturbance
F60.7,Dependent personality disorder
F48.1,Depersonalization-derealization syndrome
F94.2,Disinhibited attachment disorder of childhood
F20.1,Disorganized schizophrenia
F34.81,Dispruptive mood dysregulation disorder
F44.0,Dissociative amnesia
F44.9,"Dissociative and conversion disorder, unspecified"
F44.1,Dissociative fugue
F44.81,Dissociative identity disorder
F44.2,Dissociative stupor
F52.6,Dyspareunia not due to a substance or known physiological condition
F34.1,Dysthymic disorder
F50.9,"Eating disorder, unspecified"
F98.1,Encopresis not due to a substance or known physiological condition
F98.0,Enuresis not due to a substance or known physiological condition
F42.4,Excoriation (skin-picking) disorder
F65.2,Exhibitionism
F68.13,Factitious disorder with combined psychological and physical signs and symptoms
F68.12,Factitious disorder with predominantly physical signs and symptoms
F68.11,Factitious disorder with predominantly psychological signs and symptoms
F68.10,"Factitious disorder, unspecified"
F40.230,Fear of blood
F40.242,Fear of bridges
F40.243,Fear of flying
F40.231,Fear of injections and transfusions
F40.233,Fear of injury
F40.232,Fear of other medical care
F40.220,Fear of thunderstorms
F52.31,Female orgasmic disorder
F52.22,Female sexual arousal disorder
F65.0,Fetishism
F65.81,Frotteurism
F64.1,Gender identity disorder in adolescence and adulthood
F64.2,Gender identity disorder of childhood
F64.9,"Gender identity disorder, unspecified"
F41.1,Generalized anxiety disorder
F40.291,Gynephobia
F16.183,Hallucinogen abuse with hallucinogen persisting perception disorder (flashbacks)
F16.180,Hallucinogen abuse with hallucinogen-induced anxiety disorder
F16.14,Hallucinogen abuse with hallucinogen-induced mood disorder
F16.150,Hallucinogen abuse with hallucinogen-induced psychotic disorder with delusions
F16.151,"Hallucinogen abuse with hallucinogen-induced psychotic disorder with
hallucinations"
F16.159,"Hallucinogen abuse with hallucinogen-induced psychotic disorder, unspecified"
F16.121,Hallucinogen abuse with intoxication with delirium
F16.122,Hallucinogen abuse with intoxication with perceptual disturbance
F16.188,Hallucinogen abuse with other hallucinogen-induced disorder
F16.19,Hallucinogen abuse with unspecified hallucinogen-induced disorder
F16.283,"Hallucinogen dependence with hallucinogen persisting perception disorder
(flashbacks)"
F16.280,Hallucinogen dependence with hallucinogen-induced anxiety disorder
F16.24,Hallucinogen dependence with hallucinogen-induced mood disorder
F16.250,"Hallucinogen dependence with hallucinogen-induced psychotic disorder with
delusions"
F16.251,"Hallucinogen dependence with hallucinogen-induced psychotic disorder with
hallucinations"
F16.259,"Hallucinogen dependence with hallucinogen-induced psychotic disorder,
unspecified"
F16.221,Hallucinogen dependence with intoxication with delirium
F16.288,Hallucinogen dependence with other hallucinogen-induced disorder
F16.29,Hallucinogen dependence with unspecified hallucinogen-induced disorder
F16.983,"Hallucinogen use, unspecified with hallucinogen persisting perception disorder
(flashbacks)"
F16.980,"Hallucinogen use, unspecified with hallucinogen-induced anxiety disorder"
F16.94,"Hallucinogen use, unspecified with hallucinogen-induced mood disorder"
F16.950,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with
delusions"
F16.951,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with
hallucinations"
F16.959,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder,
unspecified"
F16.921,"Hallucinogen use, unspecified with intoxication with delirium"
F16.988,"Hallucinogen use, unspecified with other hallucinogen-induced disorder"
F60.4,Histrionic personality disorder
F42.3,Hoarding disorder
F52.0,Hypoactive sexual desire disorder
F45.20,"Hypochondriacal disorder, unspecified"
F45.21,Hypochondriasis
F63.9,"Impulse disorder, unspecified"
F18.180,Inhalant abuse with inhalant-induced anxiety disorder
F18.17,Inhalant abuse with inhalant-induced dementia
F18.14,Inhalant abuse with inhalant-induced mood disorder
F18.150,Inhalant abuse with inhalant-induced psychotic disorder with delusions
F18.151,Inhalant abuse with inhalant-induced psychotic disorder with hallucinations
F18.159,"Inhalant abuse with inhalant-induced psychotic disorder, unspecified"
F18.121,Inhalant abuse with intoxication delirium
F18.188,Inhalant abuse with other inhalant-induced disorder
F18.19,Inhalant abuse with unspecified inhalant-induced disorder
F18.280,Inhalant dependence with inhalant-induced anxiety disorder
F18.27,Inhalant dependence with inhalant-induced dementia
F18.24,Inhalant dependence with inhalant-induced mood disorder
F18.250,Inhalant dependence with inhalant-induced psychotic disorder with delusions
F18.251,Inhalant dependence with inhalant-induced psychotic disorder with hallucinations
F18.259,"Inhalant dependence with inhalant-induced psychotic disorder, unspecified"
F18.221,Inhalant dependence with intoxication delirium
F18.980,"Inhalant use, unspecified with inhalant-induced anxiety disorder"
F18.94,"Inhalant use, unspecified with inhalant-induced mood disorder"
F18.97,"Inhalant use, unspecified with inhalant-induced persisting dementia"
F18.950,"Inhalant use, unspecified with inhalant-induced psychotic disorder with delusions"
F18.951,"Inhalant use, unspecified with inhalant-induced psychotic disorder with
hallucinations"
F18.959,"Inhalant use, unspecified with inhalant-induced psychotic disorder, unspecified"
F18.921,"Inhalant use, unspecified with intoxication with delirium"
F51.05,Insomnia due to other mental disorder
F51.12,Insufficient sleep syndrome
F63.81,Intermittent explosive disorder
F63.2,Kleptomania
F33.2,"Major depressive disorder, recurrent severe without psychotic features"
F33.42,"Major depressive disorder, recurrent, in full remission"
F33.41,"Major depressive disorder, recurrent, in partial remission"
F33.40,"Major depressive disorder, recurrent, in remission, unspecified"
F33.0,"Major depressive disorder, recurrent, mild"
F33.1,"Major depressive disorder, recurrent, moderate"
F33.3,"Major depressive disorder, recurrent, severe with psychotic symptoms"
F33.9,"Major depressive disorder, recurrent, unspecified"
F32.5,"Major depressive disorder, single episode, in full remission"
F32.4,"Major depressive disorder, single episode, in partial remission"
F32.0,"Major depressive disorder, single episode, mild"
F32.1,"Major depressive disorder, single episode, moderate"
F32.3,"Major depressive disorder, single episode, severe with psychotic features"
F32.2,"Major depressive disorder, single episode, severe without psychotic features"
F32.9,"Major depressive disorder, single episode, unspecified"
F52.21,Male erectile disorder
F52.32,Male orgasmic disorder
F30.4,Manic episode in full remission
F30.3,Manic episode in partial remission
F30.11,"Manic episode without psychotic symptoms, mild"
F30.12,"Manic episode without psychotic symptoms, moderate"
F30.10,"Manic episode without psychotic symptoms, unspecified"
F30.2,"Manic episode, severe with psychotic symptoms"
F30.13,"Manic episode, severe, without psychotic symptoms"
F30.9,"Manic episode, unspecified"
F42.2,Mixed obsessional thoughts and acts
F06.31,Mood disorder due to known physiological condition with depressive features
F06.32,"Mood disorder due to known physiological condition with major depressive-like
episode"
F06.33,Mood disorder due to known physiological condition with manic features
F06.34,Mood disorder due to known physiological condition with mixed features
F06.30,"Mood disorder due to known physiological condition, unspecified"
F60.81,Narcissistic personality disorder
F51.5,Nightmare disorder
F48.9,"Nonpsychotic mental disorder, unspecified"
F42,Obsessive-compulsive disorder
F60.5,Obsessive-compulsive personality disorder
F11.121,Opioid abuse with intoxication delirium
F11.122,Opioid abuse with intoxication with perceptual disturbance
F11.14,Opioid abuse with opioid-induced mood disorder
F11.150,Opioid abuse with opioid-induced psychotic disorder with delusions
F11.151,Opioid abuse with opioid-induced psychotic disorder with hallucinations
F11.159,"Opioid abuse with opioid-induced psychotic disorder, unspecified"
F11.181,Opioid abuse with opioid-induced sexual dysfunction
F11.182,Opioid abuse with opioid-induced sleep disorder
F11.188,Opioid abuse with other opioid-induced disorder
F11.19,Opioid abuse with unspecified opioid-induced disorder
F11.221,Opioid dependence with intoxication delirium
F11.24,Opioid dependence with opioid-induced mood disorder
F11.250,Opioid dependence with opioid-induced psychotic disorder with delusions
F11.251,Opioid dependence with opioid-induced psychotic disorder with hallucinations
F11.259,"Opioid dependence with opioid-induced psychotic disorder, unspecified"
F11.281,Opioid dependence with opioid-induced sexual dysfunction
F11.282,Opioid dependence with opioid-induced sleep disorder
F11.288,Opioid dependence with other opioid-induced disorder
F11.29,Opioid dependence with unspecified opioid-induced disorder
F11.921,"Opioid use, unspecified with intoxication delirium"
F11.922,"Opioid use, unspecified with intoxication with perceptual disturbance"
F11.94,"Opioid use, unspecified with opioid-induced mood disorder"
F11.950,"Opioid use, unspecified with opioid-induced psychotic disorder with delusions"
F11.951,"Opioid use, unspecified with opioid-induced psychotic disorder with
hallucinations"
F11.959,"Opioid use, unspecified with opioid-induced psychotic disorder, unspecified"
F11.981,"Opioid use, unspecified with opioid-induced sexual dysfunction"
F11.982,"Opioid use, unspecified with opioid-induced sleep disorder"
F11.988,"Opioid use, unspecified with other opioid-induced disorder"
F91.3,Oppositional defiant disorder
F40.218,Other animal type phobia
F31.89,Other bipolar disorder
F84.3,Other childhood disintegrative disorder
F94.8,Other childhood disorders of social functioning
F93.8,Other childhood emotional disorders
F91.8,Other conduct disorders
F32.8,Other depressive episodes
F80.89,Other developmental disorders of speech and language
F88,Other disorders of psychological development
F50.8,Other eating disorders
F98.29,Other feeding disorders of infancy and early childhood
F64.8,Other gender identity disorders
F45.29,Other hypochondriacal disorders
F63.8,Other impulse disorders
F51.09,Other insomnia not due to a substance or known physiological condition
F42.8,Other obsessive compulsive disorder
F30.8,Other manic episodes
F41.3,Other mixed anxiety disorders
F40.228,Other natural environment type phobia
F65.89,Other paraphilias
F34.8,Other persistent mood ºaffective» disorders
F07.89,Other personality and behavioral disorders due to known physiological condition
F84.8,Other pervasive developmental disorders
F40.8,Other phobic anxiety disorders
F19.121,Other psychoactive substance abuse with intoxication delirium
F19.122,"Other psychoactive substance abuse with intoxication with perceptual
disturbances"
F19.188,"Other psychoactive substance abuse with other psychoactive substance-induced
disorder"
F19.180,"Other psychoactive substance abuse with psychoactive substance-induced
anxiety disorder"
F19.14,"Other psychoactive substance abuse with psychoactive substance-induced mood
disorder"
F19.16,"Other psychoactive substance abuse with psychoactive substance-induced
persisting amnestic disorder"
F19.17,"Other psychoactive substance abuse with psychoactive substance-induced
persisting dementia"
F19.150,"Other psychoactive substance abuse with psychoactive substance-induced
psychotic disorder with delus"
F19.151,"Other psychoactive substance abuse with psychoactive substance-induced
psychotic disorder with hallu"
F19.159,"Other psychoactive substance abuse with psychoactive substance-induced
psychotic disorder, unspecifi"
F19.181,"Other psychoactive substance abuse with psychoactive substance-induced sexual
dysfunction"
F19.182,"Other psychoactive substance abuse with psychoactive substance-induced sleep
disorder"
F19.19,"Other psychoactive substance abuse with unspecified psychoactive substance-
induced disorder"
F19.221,Other psychoactive substance dependence with intoxication delirium
F19.222,"Other psychoactive substance dependence with intoxication with perceptual
disturbance"
F19.288,"Other psychoactive substance dependence with other psychoactive substance-
induced disorder"
F19.280,"Other psychoactive substance dependence with psychoactive substance-induced
anxiety disorder"
F19.24,"Other psychoactive substance dependence with psychoactive substance-induced
mood disorder"
F19.26,"Other psychoactive substance dependence with psychoactive substance-induced
persisting amnestic diso"
F19.27,"Other psychoactive substance dependence with psychoactive substance-induced
persisting dementia"
F19.250,"Other psychoactive substance dependence with psychoactive substance-induced
psychotic disorder with"
F19.251,"Other psychoactive substance dependence with psychoactive substance-induced
psychotic disorder with"
F19.259,"Other psychoactive substance dependence with psychoactive substance-induced
psychotic disorder, unsp"
F19.281,"Other psychoactive substance dependence with psychoactive substance-induced
sexual dysfunction"
F19.282,"Other psychoactive substance dependence with psychoactive substance-induced
sleep disorder"
F19.29,"Other psychoactive substance dependence with unspecified psychoactive
substance-induced disorder"
F19.231,Other psychoactive substance dependence with withdrawal delirium
F19.232,"Other psychoactive substance dependence with withdrawal with perceptual
disturbance"
F19.239,"Other psychoactive substance dependence with withdrawal, unspecified"
F19.921,"Other psychoactive substance use, unspecified with intoxication with delirium"
F19.922,"Other psychoactive substance use, unspecified with intoxication with perceptual
disturbance"
F19.988,"Other psychoactive substance use, unspecified with other psychoactive
substance-induced disorder"
F19.980,"Other psychoactive substance use, unspecified with psychoactive substance-
induced anxiety disorder"
F19.94,"Other psychoactive substance use, unspecified with psychoactive substance-
induced mood disorder"
F19.96,"Other psychoactive substance use, unspecified with psychoactive substance-
induced persisting amnesti"
F19.97,"Other psychoactive substance use, unspecified with psychoactive substance-
induced persisting dementi"
F19.950,"Other psychoactive substance use, unspecified with psychoactive substance-
induced psychotic disorder"
F19.951,"Other psychoactive substance use, unspecified with psychoactive substance-
induced psychotic disorder"
F19.959,"Other psychoactive substance use, unspecified with psychoactive substance-
induced psychotic disorder"
F19.981,"Other psychoactive substance use, unspecified with psychoactive substance-
induced sexual dysfunction"
F19.982,"Other psychoactive substance use, unspecified with psychoactive substance-
induced sleep disorder"
F19.931,"Other psychoactive substance use, unspecified with withdrawal delirium"
F19.932,"Other psychoactive substance use, unspecified with withdrawal with perceptual
disturbance"
F28,Other psychotic disorder not due to a substance or known physiological condition
F43.8,Other reactions to severe stress
F33.8,Other recurrent depressive disorders
F25.8,Other schizoaffective disorders
F20.89,Other schizophrenia
F66,Other sexual disorders
F52.8,Other sexual dysfunction not due to a substance or known physiological condition
F40.248,Other situational type phobia
F51.8,Other sleep disorders not due to a substance or known physiological condition
F45.8,Other somatoform disorders
F32.89,Other specified depressive episodes
F50.89,Other specified eating disorder
F34.89,Other specified persistent mood disorders
F60.89,Other specific personality disorders
F41.8,Other specified anxiety disorders
F98.8,"Other specified behavioral and emotional disorders with onset usually occurring
in childhood and ado"
F68.8,Other specified disorders of adult personality and behavior
F06.8,Other specified mental disorders due to known physiological condition
F40.298,Other specified phobia
F15.121,Other stimulant abuse with intoxication delirium
F15.122,Other stimulant abuse with intoxication with perceptual disturbance
F15.188,Other stimulant abuse with other stimulant-induced disorder
F15.180,Other stimulant abuse with stimulant-induced anxiety disorder
F15.14,Other stimulant abuse with stimulant-induced mood disorder
F15.150,Other stimulant abuse with stimulant-induced psychotic disorder with delusions
F15.151,"Other stimulant abuse with stimulant-induced psychotic disorder with
hallucinations"
F15.159,"Other stimulant abuse with stimulant-induced psychotic disorder, unspecified"
F15.181,Other stimulant abuse with stimulant-induced sexual dysfunction
F15.182,Other stimulant abuse with stimulant-induced sleep disorder
F15.19,Other stimulant abuse with unspecified stimulant-induced disorder
F15.221,Other stimulant dependence with intoxication delirium
F15.222,Other stimulant dependence with intoxication with perceptual disturbance
F15.288,Other stimulant dependence with other stimulant-induced disorder
F15.280,Other stimulant dependence with stimulant-induced anxiety disorder
F15.24,Other stimulant dependence with stimulant-induced mood disorder
F15.250,"Other stimulant dependence with stimulant-induced psychotic disorder with
delusions"
F15.251,"Other stimulant dependence with stimulant-induced psychotic disorder with
hallucinations"
F15.259,"Other stimulant dependence with stimulant-induced psychotic disorder,
unspecified"
F15.281,Other stimulant dependence with stimulant-induced sexual dysfunction
F15.282,Other stimulant dependence with stimulant-induced sleep disorder
F15.29,Other stimulant dependence with unspecified stimulant-induced disorder
F15.921,"Other stimulant use, unspecified with intoxication delirium"
F15.922,"Other stimulant use, unspecified with intoxication with perceptual disturbance"
F15.988,"Other stimulant use, unspecified with other stimulant-induced disorder"
F15.980,"Other stimulant use, unspecified with stimulant-induced anxiety disorder"
F15.94,"Other stimulant use, unspecified with stimulant-induced mood disorder"
F15.950,"Other stimulant use, unspecified with stimulant-induced psychotic disorder with
delusions"
F15.951,"Other stimulant use, unspecified with stimulant-induced psychotic disorder with
hallucinations"
F15.959,"Other stimulant use, unspecified with stimulant-induced psychotic disorder,
unspecified"
F15.981,"Other stimulant use, unspecified with stimulant-induced sexual dysfunction"
F15.982,"Other stimulant use, unspecified with stimulant-induced sleep disorder"
F95.8,Other tic disorders
F45.41,Pain disorder exclusively related to psychological factors
F45.42,Pain disorder with related psychological factors
F41.0,Panic disorder ºepisodic paroxysmal anxiety» without agoraphobia
F51.03,Paradoxical insomnia
F60.0,Paranoid personality disorder
F20.0,Paranoid schizophrenia
F65.9,"Paraphilia, unspecified"
F63.0,Pathological gambling
F65.4,Pedophilia
F34.9,"Persistent mood ºaffective» disorder, unspecified"
F07.0,Personality change due to known physiological condition
F60.9,"Personality disorder, unspecified"
F84.9,"Pervasive developmental disorder, unspecified"
F40.9,"Phobic anxiety disorder, unspecified"
F98.3,Pica of infancy and childhood
F43.11,"Post-traumatic stress disorder, acute"
F43.12,"Post-traumatic stress disorder, chronic"
F43.10,"Post-traumatic stress disorder, unspecified"
F07.81,Postconcussional syndrome
F52.4,Premature ejaculation
F32.81,Premenstrual dysphonic disorder
F51.11,Primary hypersomnia
F51.01,Primary insomnia
F48.2,Pseudobulbar affect
F06.2,Psychotic disorder with delusions due to known physiological condition
F06.0,Psychotic disorder with hallucinations due to known physiological condition
F53,Puerperal psychosis
F63.1,Pyromania
F43.9,"Reaction to severe stress, unspecified"
F94.1,Reactive attachment disorder of childhood
F20.5,Residual schizophrenia
F98.21,Rumination disorder of infancy
F65.50,"Sadomasochism, unspecified"
F25.0,"Schizoaffective disorder, bipolar type"
F25.1,"Schizoaffective disorder, depressive type"
F25.9,"Schizoaffective disorder, unspecified"
F60.1,Schizoid personality disorder
F20.9,"Schizophrenia, unspecified"
F20.81,Schizophreniform disorder
F21,Schizotypal disorder
F13.121,"Sedative, hypnotic or anxiolytic abuse with intoxication delirium"
F13.188,"Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-
induced disorder"
F13.180,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-
induced anxiety disorde"
F13.14,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-
induced mood disorder"
F13.151,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-
induced psychotic disor"
F13.159,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-
induced psychotic disor"
F13.150,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-
induced psychotic disor"
F13.181,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-
induced sexual dysfunct"
F13.182,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-
induced sleep disorder"
F13.19,"Sedative, hypnotic or anxiolytic abuse with unspecified sedative, hypnotic or
anxiolytic-induced dis"
F13.221,"Sedative, hypnotic or anxiolytic dependence with intoxication delirium"
F13.288,"Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or
anxiolytic-induced diso"
F13.280,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-
induced anxiety di"
F13.24,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-
induced mood disor"
